piRNA	log2FoldChange	padj
piR-dre-7900	-1.229145815	0.260921918
piR-dre-51672	2.040465	0.260921918
piR-dre-1002033	-2.553259477	0.260921918
piR-dre-20564	2.456862393	0.264559273
piR-dre-12622	-1.912413327	0.266563675
piR-dre-7023	-0.939117942	0.267106766
piR-dre-574550	-1.558568743	0.267106766
piR-dre-29462	3.212818654	0.267549322
piR-dre-70515	1.386580153	0.267549322
piR-dre-38423	-1.398663355	0.268382972
piR-dre-1190938	-1.415666576	0.268382972
piR-dre-16114	1.296660015	0.268382972
piR-dre-88880	2.20000111	0.268382972
piR-dre-44155	-2.201090795	0.268382972
piR-dre-464155	2.04934809	0.26921555
piR-dre-5247	-1.154105724	0.26921555
piR-dre-56822	-1.892990406	0.26921555
piR-dre-1488	-1.22365187	0.269741329
piR-dre-445862	-1.684848263	0.271648203
piR-dre-54884	-3.769127499	0.271648203
piR-dre-63076	2.015113037	0.273229412
piR-dre-9957	1.406389143	0.273460401
piR-dre-21163	1.480747552	0.273537479
piR-dre-11456	-1.369249312	0.273898324
piR-dre-22185	-1.560521006	0.273898324
piR-dre-479886	-2.327491544	0.273898324
piR-dre-60133	1.663731015	0.273898324
piR-dre-42515	-1.738783557	0.273898324
piR-dre-17529	1.618823848	0.274061667
piR-dre-77335	-1.060853421	0.274061667
piR-dre-48760	1.307993332	0.274061667
piR-dre-23388	1.401329965	0.276866856
piR-dre-40088	-2.243541807	0.278361587
piR-dre-62280	2.228716183	0.280765751
piR-dre-15452	3.077282616	0.281142053
piR-dre-2357	-2.040369189	0.282085581
piR-dre-743488	1.448841125	0.284143252
piR-dre-54330	0.887483	0.284560365
piR-dre-46880	2.246840279	0.284712948
piR-dre-40258	-0.71259447	0.284712948
piR-dre-1201665	-1.455345404	0.284712948
piR-dre-199120	1.600385915	0.284712948
piR-dre-22820	-1.711597093	0.284712948
piR-dre-13630	-1.754130016	0.284712948
piR-dre-16394	-1.158131367	0.284712948
piR-dre-71730	-2.175358668	0.284712948
piR-dre-76716	-1.207726629	0.284712948
piR-dre-6085	-2.611326181	0.284712948
piR-dre-951	-3.036730537	0.284712948
piR-dre-952	-3.036730537	0.284712948
piR-dre-953	-3.036730537	0.284712948
piR-dre-950	-3.036730537	0.284712948
piR-dre-5602	-3.909404335	0.284712948
piR-dre-44596	-3.851422639	0.284712948
piR-dre-7020	-3.543791777	0.284712948
piR-dre-63770	1.587030877	0.290553765
piR-dre-10129	-1.312848368	0.290805752
piR-dre-40515	-2.408047854	0.291282764
piR-dre-108938	-1.428550215	0.291282764
piR-dre-1203818	-1.339764904	0.291282764
piR-dre-63486	1.622304093	0.291282764
piR-dre-48929	-2.395201384	0.291282764
piR-dre-1200334	-2.035766583	0.291282764
piR-dre-10507	-1.582439378	0.291282764
piR-dre-88077	-3.426554718	0.291282764
piR-dre-18073	1.608104522	0.291793788
piR-dre-26025	2.289300572	0.292756941
piR-dre-32812	4.056707595	0.292756941
piR-dre-443617	1.474866186	0.292756941
piR-dre-42309	1.473677827	0.292756941
piR-dre-21136	-1.164742185	0.292756941
piR-dre-2332	-1.165091649	0.292756941
piR-dre-156470	1.87704295	0.292756941
piR-dre-1755	1.494723121	0.292756941
piR-dre-70865	0.843588446	0.292756941
piR-dre-47488	-1.535925043	0.292756941
piR-dre-882	-1.197749668	0.292756941
piR-dre-55977	-1.180070195	0.292756941
piR-dre-562209	1.805380333	0.292756941
piR-dre-979518	2.19501501	0.292756941
piR-dre-43420	-1.885572381	0.292756941
piR-dre-57216	-3.102536207	0.292756941
piR-dre-1103169	1.845759568	0.292815665
piR-dre-52353	-1.579820271	0.298786312
piR-dre-9545	-1.130306092	0.299911511
piR-dre-35445	0.995920793	0.302285623
piR-dre-4695	-1.644612071	0.302285623
piR-dre-10126	-0.905257826	0.302285623
piR-dre-1299698	1.401329459	0.302285623
piR-dre-1486	-1.00047623	0.302285623
piR-dre-14021	-2.376603216	0.302285623
piR-dre-17602	-1.663013899	0.302285623
piR-dre-54010	0.927163798	0.302285623
piR-dre-46597	2.859813174	0.302285623
piR-dre-463332	2.881043894	0.302285623
piR-dre-10769	-3.308418797	0.302285623
piR-dre-26844	1.367398472	0.303101327
piR-dre-20809	2.147282919	0.303101327
piR-dre-2442	0.994790422	0.303101327
piR-dre-1487	-0.994418483	0.303101327
piR-dre-8284	-1.155825131	0.303101327
piR-dre-598766	-1.046867307	0.303101327
piR-dre-24373	-1.58223025	0.303101327
piR-dre-39586	-2.41145943	0.303101327
piR-dre-67795	-2.170967463	0.303101327
piR-dre-22628	-3.178360872	0.303101327
piR-dre-40286	0.86658802	0.304236475
piR-dre-133250	-1.697382945	0.304236475
piR-dre-17026	1.982620464	0.304688381
piR-dre-571144	2.479110249	0.304961143
piR-dre-2338	-1.392614559	0.305990289
piR-dre-719736	-2.149716334	0.307013419
piR-dre-34701	1.084516658	0.308922999
piR-dre-46233	-1.918632836	0.308922999
piR-dre-32358	0.828351452	0.309600462
piR-dre-1308976	-1.271019205	0.309600462
piR-dre-498261	-1.732892642	0.309600462
piR-dre-48747	-2.696258551	0.309600462
piR-dre-4705	1.226620835	0.31008414
piR-dre-45996	-1.826211269	0.31008414
piR-dre-39258	-1.856276283	0.31008414
piR-dre-2443	0.965647173	0.312367711
piR-dre-35690	0.922671631	0.31352269
piR-dre-2660	0.853570352	0.31352269
piR-dre-23453	2.991499852	0.31352269
piR-dre-9511	-1.70847404	0.31352269
piR-dre-51325	-3.883267196	0.31352269
piR-dre-35088	-3.883267196	0.31352269
piR-dre-2190	-1.030903762	0.313557493
piR-dre-28190	-1.770130332	0.313557493
piR-dre-53489	-1.874868428	0.313557493
piR-dre-3459	-1.017645894	0.315504096
piR-dre-35742	2.170869642	0.316706676
piR-dre-5138	-1.340462241	0.316706676
piR-dre-4397	3.913672801	0.317145944
piR-dre-21178	-0.772128605	0.317145944
piR-dre-2189	-1.008780545	0.317145944
piR-dre-37998	2.060881861	0.317279962
piR-dre-36865	0.994618875	0.317279962
piR-dre-44058	-1.482354171	0.317279962
piR-dre-17723	1.401781803	0.317279962
piR-dre-73655	-1.383346722	0.317279962
piR-dre-903455	1.606565615	0.317279962
piR-dre-59411	-2.426138854	0.317279962
piR-dre-897806	-1.820006567	0.317279962
piR-dre-82287	-3.027566085	0.317279962
piR-dre-74089	2.13786101	0.31757312
piR-dre-37207	1.51371752	0.321468976
piR-dre-28088	-1.134816974	0.321468976
piR-dre-11715	1.024460777	0.323157377
piR-dre-173977	-2.059648578	0.323157377
piR-dre-87196	1.62944011	0.323157377
piR-dre-77373	-1.716611993	0.323157377
piR-dre-133199	-1.256349308	0.323165458
piR-dre-35087	-3.83997685	0.323165458
piR-dre-1011484	-1.855580527	0.324194616
piR-dre-782968	-2.988906614	0.324231334
piR-dre-805493	-2.988906614	0.324231334
